Adresse;Stimmart;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;Briefwahlbezirk;Abgeordnetenhauswahlkreis;Bundestagswahlkreis;OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wählende;Wählende B1;Gültige Stimmen;Ungültige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;Die PARTEI;Tierschutzpartei;PIRATEN;Die Grauen;FREIE WÄHLER;Gesundheitsforschung;ÖDP;du.;V-Partei;DKP;MLPD;BSo;SGP;LKR;NPD;Die Humanisten;Team Todenhöfer;Volt;dieBasis;B*;sonstige;BÜNDNIS21;EB: Direkt – bürgerschaftlich – unabhängig ;EB: erneuerung-klima.de;EB: Grundeinkommen-für-alle.org;Menschliche Welt - MENSCHLICHE WELT -;EB: Mieterinitiativen;EB: Parteifrei in den Bundestag;EB: Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.;EB: www.weltrettung-durch-therapie.de;EB;EB: Zeit zählt!;aufn
01B1A;Erststimme;01;Mitte;1A;B;011A;1;75;W;0;0;0;0;1093;1093;1089;4;214;58;205;380;32;127;21;12;8;0;0;0;2;0;0;0;0;0;0;1;0;3;0;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1B;Erststimme;01;Mitte;1B;B;011B;1;75;O;0;0;0;0;1138;1138;1133;5;231;64;242;359;38;116;19;18;4;0;0;0;0;0;0;0;1;0;0;0;0;3;0;21;17;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1C;Erststimme;01;Mitte;1C;B;011C;1;75;O;0;0;0;0;1262;1262;1254;8;227;93;217;457;17;162;18;20;5;0;0;0;3;0;0;0;2;0;0;1;0;0;0;17;13;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B1D;Erststimme;01;Mitte;1D;B;011D;1;75;O;0;0;0;0;1053;1053;1043;10;191;84;208;383;21;86;13;13;2;0;0;0;1;0;0;0;0;0;0;2;0;2;0;25;10;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B1E;Erststimme;01;Mitte;1E;B;011E;1;75;O;0;0;0;0;1238;1238;1226;12;303;103;226;356;44;135;11;5;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;19;17;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1F;Erststimme;01;Mitte;1F;B;011F;1;75;O;0;0;0;0;978;978;973;5;177;104;147;376;15;76;25;12;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;25;12;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1G;Erststimme;01;Mitte;1G;B;011G;1;75;W;0;0;0;0;901;901;898;3;160;72;230;282;27;62;10;18;5;0;0;0;4;0;0;0;0;0;0;0;0;2;0;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1H;Erststimme;01;Mitte;1H;B;011H;1;75;O;0;0;0;0;1066;1066;1063;3;159;108;176;444;17;76;18;9;2;0;0;0;2;0;0;0;2;0;0;3;0;4;0;28;14;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1I;Erststimme;01;Mitte;1I;B;011I;1;75;O;0;0;0;0;1207;1207;1204;3;190;105;200;521;24;92;20;9;4;0;0;0;0;0;0;0;1;0;0;0;0;2;0;19;16;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B1J;Erststimme;01;Mitte;1J;B;011J;1;75;O;0;0;0;0;602;602;600;2;115;64;102;197;26;49;12;4;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;16;9;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1K;Erststimme;01;Mitte;1K;B;011K;1;75;O;0;0;0;0;980;980;977;3;137;93;168;419;23;61;23;3;5;0;0;0;3;0;0;0;1;0;0;2;0;2;0;18;18;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1L;Erststimme;01;Mitte;1L;B;011L;1;75;O;0;0;0;0;928;928;922;6;116;98;144;422;29;57;11;8;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;18;13;0;0;0;0;0;0;0;0;0;0;1;1;0;
01B1M;Erststimme;01;Mitte;1M;B;011M;1;75;O;0;0;0;0;936;936;932;4;151;86;150;371;12;96;14;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;9;0;0;0;0;0;0;0;0;0;0;0;3;0;
01B2A;Erststimme;01;Mitte;2A;B;012A;2;75;O;0;0;0;0;834;834;827;7;190;103;178;134;52;112;18;15;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;13;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B2B;Erststimme;01;Mitte;2B;B;012B;2;75;O;0;0;0;0;1162;1162;1152;10;286;158;272;196;64;118;12;13;4;0;0;0;1;0;0;0;3;0;0;0;0;3;0;8;11;0;0;0;0;0;0;0;0;0;0;0;3;0;
01B2C;Erststimme;01;Mitte;2C;B;012C;2;75;O;0;0;0;0;1157;1157;1157;0;253;171;251;236;55;116;30;13;11;0;0;0;1;0;0;0;1;0;0;0;0;1;0;7;10;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B2D;Erststimme;01;Mitte;2D;B;012D;2;75;O;0;0;0;0;893;893;885;8;136;197;233;148;54;51;16;13;3;0;0;0;1;0;0;0;4;0;0;0;0;8;0;8;12;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B2E;Erststimme;01;Mitte;2E;B;012E;2;75;O;0;0;0;0;910;910;901;9;151;103;133;365;22;68;16;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B2F;Erststimme;01;Mitte;2F;B;012F;2;75;O;0;0;0;0;781;781;766;15;108;118;121;287;26;59;15;7;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B2G;Erststimme;01;Mitte;2G;B;012G;2;75;O;0;0;0;0;929;929;927;2;143;142;152;280;39;101;15;8;6;0;0;0;1;0;0;0;0;0;0;2;0;9;0;16;13;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B2H;Erststimme;01;Mitte;2H;B;012H;2;75;O;0;0;0;0;767;767;763;4;129;197;213;96;41;37;17;16;5;0;0;0;2;0;0;0;4;0;0;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B2I;Erststimme;01;Mitte;2I;B;012I;2;75;O;0;0;0;0;835;835;828;7;112;175;241;119;67;44;14;15;14;0;0;0;2;0;0;0;2;0;0;1;0;5;0;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B2J;Erststimme;01;Mitte;2J;B;012J;2;75;O;0;0;0;0;680;680;670;10;107;162;143;129;42;32;16;16;3;0;0;0;0;0;0;0;0;0;0;1;0;4;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B2K;Erststimme;01;Mitte;2K;B;012K;2;75;O;0;0;0;0;938;938;938;0;190;144;197;218;37;77;20;16;7;0;0;0;2;0;0;0;0;0;0;0;0;1;0;14;14;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B2L;Erststimme;01;Mitte;2L;B;012L;2;75;O;0;0;0;0;1324;1324;1316;8;221;183;290;363;60;108;16;26;5;0;0;0;1;0;0;0;4;0;0;3;0;2;0;14;18;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B2M;Erststimme;01;Mitte;2M;B;012M;2;75;O;0;0;0;0;1145;1145;1129;16;164;258;339;167;67;62;25;16;3;0;0;0;2;0;0;0;2;0;0;1;0;6;0;5;11;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B2N;Erststimme;01;Mitte;2N;B;012N;2;75;O;0;0;0;0;1161;1161;1150;11;157;146;224;450;23;71;23;13;8;0;0;0;0;0;0;0;5;0;0;0;0;2;0;15;11;0;0;0;0;0;0;0;0;0;0;2;0;0;
01B3A;Erststimme;01;Mitte;3A;B;013A;3;75;W;0;0;0;0;700;700;691;9;60;108;125;264;24;34;17;21;5;0;0;0;2;0;0;0;0;0;0;0;0;5;0;6;16;0;0;0;0;0;0;0;0;0;0;0;4;0;
01B3B;Erststimme;01;Mitte;3B;B;013B;3;75;W;0;0;0;0;862;862;855;7;91;106;197;318;20;47;18;23;4;0;0;0;1;0;0;0;5;0;0;0;0;2;0;12;10;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B3C;Erststimme;01;Mitte;3C;B;013C;3;75;W;0;0;0;0;904;904;899;5;156;49;246;310;16;58;10;20;4;0;0;0;1;0;0;0;0;0;0;1;0;3;0;11;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B3D;Erststimme;01;Mitte;3D;B;013D;3;75;W;0;0;0;0;1044;1044;1031;13;108;102;274;421;22;50;21;11;3;0;0;0;3;0;0;0;0;0;0;0;0;1;0;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B3E;Erststimme;01;Mitte;3E;B;013E;3;75;W;0;0;0;0;908;908;903;5;124;85;229;364;17;38;16;8;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B3F;Erststimme;01;Mitte;3F;B;013F;3;75;W;0;0;0;0;1160;1160;1158;2;164;85;261;471;34;77;16;14;4;0;0;0;1;0;0;0;3;0;0;2;0;1;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B3G;Erststimme;01;Mitte;3G;B;013G;3;75;W;0;0;0;0;579;579;574;5;84;51;131;195;23;41;17;10;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;11;7;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B3H;Erststimme;01;Mitte;3H;B;013H;3;75;W;0;0;0;0;777;777;773;4;163;51;205;175;41;75;15;18;4;0;0;0;2;0;0;0;0;0;0;0;0;1;0;9;13;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B3I;Erststimme;01;Mitte;3I;B;013I;3;75;W;0;0;0;0;1044;1044;1033;11;188;93;274;320;35;73;7;14;5;0;0;0;1;0;0;0;0;0;0;2;0;2;0;10;8;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B3J;Erststimme;01;Mitte;3J;B;013J;3;75;W;0;0;0;0;1028;1028;1026;2;303;63;228;253;39;82;15;18;2;0;0;0;0;0;0;0;1;0;0;1;0;2;0;5;13;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B3K;Erststimme;01;Mitte;3K;B;013K;3;75;W;0;0;0;0;1135;1135;1133;2;251;98;190;371;38;124;13;12;5;0;0;0;2;0;0;0;1;0;0;0;0;1;0;12;12;0;0;0;0;0;0;0;0;0;0;1;2;0;
01B3L;Erststimme;01;Mitte;3L;B;013L;3;75;W;0;0;0;0;885;885;879;6;145;74;202;327;19;69;13;8;4;0;0;0;1;0;0;0;0;0;0;0;0;4;0;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B4A;Erststimme;01;Mitte;4A;B;014A;4;75;W;0;0;0;0;669;669;667;2;53;95;114;287;22;44;16;12;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;5;12;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B4B;Erststimme;01;Mitte;4B;B;014B;4;75;W;0;0;0;0;567;567;562;5;50;94;99;242;17;25;8;13;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B4C;Erststimme;01;Mitte;4C;B;014C;4;75;W;0;0;0;0;840;840;829;11;92;115;178;336;18;41;14;8;5;0;0;0;3;0;0;0;6;0;0;0;0;1;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B4D;Erststimme;01;Mitte;4D;B;014D;4;75;W;0;0;0;0;650;650;648;2;52;84;127;286;20;40;13;8;2;0;0;0;1;0;0;0;2;0;0;0;0;2;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B4E;Erststimme;01;Mitte;4E;B;014E;4;75;W;0;0;0;0;882;882;878;4;83;98;203;383;13;44;14;10;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;11;13;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B4F;Erststimme;01;Mitte;4F;B;014F;4;75;W;0;0;0;0;917;917;911;6;89;92;210;380;22;39;23;16;4;0;0;0;1;0;0;0;1;0;0;0;0;5;0;15;13;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B4G;Erststimme;01;Mitte;4G;B;014G;4;75;W;0;0;0;0;605;605;598;7;65;102;87;271;5;24;22;8;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B4H;Erststimme;01;Mitte;4H;B;014H;4;75;W;0;0;0;0;711;711;710;1;63;96;121;315;18;32;25;16;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0;0;0;0;0;0;3;0;
01B4I;Erststimme;01;Mitte;4I;B;014I;4;75;W;0;0;0;0;631;631;629;2;65;95;110;242;16;41;16;16;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;10;8;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B4J;Erststimme;01;Mitte;4J;B;014J;4;75;W;0;0;0;0;573;573;566;7;67;69;127;185;30;45;9;11;4;0;0;0;1;0;0;0;1;0;0;1;0;1;0;5;6;0;0;0;0;0;0;0;0;0;0;1;3;0;
01B4K;Erststimme;01;Mitte;4K;B;014K;4;75;W;0;0;0;0;541;541;539;2;51;67;101;223;19;34;13;11;3;0;0;0;3;0;0;0;0;0;0;0;0;1;0;4;8;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B4L;Erststimme;01;Mitte;4L;B;014L;4;75;W;0;0;0;0;1137;1137;1128;9;104;186;253;442;30;48;20;16;6;0;0;0;1;0;0;0;0;0;0;1;0;4;0;8;7;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B4M;Erststimme;01;Mitte;4M;B;014M;4;75;W;0;0;0;0;874;874;872;2;63;159;152;386;25;26;15;19;4;0;0;0;0;0;0;0;1;0;0;1;0;1;0;5;11;0;0;0;0;0;0;0;0;0;0;1;3;0;
01B5A;Erststimme;01;Mitte;5A;B;015A;5;75;W;0;0;0;0;643;643;636;7;133;50;194;115;48;46;9;29;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;
01B5B;Erststimme;01;Mitte;5B;B;015B;5;75;W;0;0;0;0;654;654;646;8;123;63;189;141;36;40;11;31;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B5C;Erststimme;01;Mitte;5C;B;015C;5;75;W;0;0;0;0;714;714;700;14;158;60;205;130;52;44;7;18;2;0;0;0;1;0;0;0;3;0;0;0;0;1;0;8;9;0;0;0;0;0;0;0;0;0;0;2;0;0;
01B5D;Erststimme;01;Mitte;5D;B;015D;5;75;W;0;0;0;0;667;667;656;11;119;73;219;113;44;34;18;18;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;2;1;0;
01B5E;Erststimme;01;Mitte;5E;B;015E;5;75;W;0;0;0;0;614;614;602;12;112;74;151;150;38;27;8;23;3;0;0;0;0;0;0;0;0;0;0;1;0;4;0;2;8;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B5F;Erststimme;01;Mitte;5F;B;015F;5;75;W;0;0;0;0;774;774;766;8;84;113;186;258;36;32;15;22;3;0;0;0;1;0;0;0;0;0;0;0;0;3;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B5G;Erststimme;01;Mitte;5G;B;015G;5;75;W;0;0;0;0;441;441;432;9;62;53;127;88;34;19;13;19;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B5H;Erststimme;01;Mitte;5H;B;015H;5;75;W;0;0;0;0;700;700;682;18;78;119;139;246;20;26;9;23;6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;9;4;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B5I;Erststimme;01;Mitte;5I;B;015I;5;75;W;0;0;0;0;614;614;605;9;66;88;149;192;34;30;14;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B5J;Erststimme;01;Mitte;5J;B;015J;5;75;W;0;0;0;0;686;686;680;6;48;146;127;271;21;23;17;10;2;0;0;0;2;0;0;0;2;0;0;0;0;3;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B5K;Erststimme;01;Mitte;5K;B;015K;5;75;W;0;0;0;0;865;865;856;9;191;99;211;210;47;39;6;29;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;10;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B5L;Erststimme;01;Mitte;5L;B;015L;5;75;W;0;0;0;0;843;843;837;6;55;137;171;344;22;30;26;16;4;0;0;0;1;0;0;0;0;0;0;0;0;5;0;14;11;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B6A;Erststimme;01;Mitte;6A;B;016A;6;75;W;0;0;0;0;594;594;591;3;53;136;75;240;22;29;11;12;3;0;0;0;1;0;0;0;2;0;0;0;0;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B6B;Erststimme;01;Mitte;6B;B;016B;6;75;W;0;0;0;0;591;591;586;5;50;80;123;233;23;27;11;15;5;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;7;0;0;0;0;0;0;0;0;0;0;2;0;0;
01B6C;Erststimme;01;Mitte;6C;B;016C;6;75;W;0;0;0;0;412;412;409;3;33;93;72;143;15;13;15;10;3;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;1;3;0;
01B6D;Erststimme;01;Mitte;6D;B;016D;6;75;W;0;0;0;0;497;497;492;5;58;86;113;135;20;30;15;16;6;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B6E;Erststimme;01;Mitte;6E;B;016E;6;75;W;0;0;0;0;447;447;439;8;33;111;74;160;13;18;11;8;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B6F;Erststimme;01;Mitte;6F;B;016F;6;75;W;0;0;0;0;586;586;584;2;35;112;119;228;21;21;20;12;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;5;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B6G;Erststimme;01;Mitte;6G;B;016G;6;75;W;0;0;0;0;585;585;580;5;51;123;126;192;17;27;11;12;6;0;0;0;1;0;0;0;0;0;0;0;0;2;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B6H;Erststimme;01;Mitte;6H;B;016H;6;75;W;0;0;0;0;802;802;792;10;69;158;162;281;23;29;25;15;5;0;0;0;2;0;0;0;1;0;0;0;0;3;0;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B6I;Erststimme;01;Mitte;6I;B;016I;6;75;W;0;0;0;0;622;622;612;10;48;136;88;251;22;16;15;8;5;0;0;0;1;0;0;0;2;0;0;0;0;2;0;7;10;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B6J;Erststimme;01;Mitte;6J;B;016J;6;75;W;0;0;0;0;743;743;738;5;86;98;153;282;23;32;17;14;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;16;8;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B6K;Erststimme;01;Mitte;6K;B;016K;6;75;W;0;0;0;0;529;529;529;0;36;128;89;209;9;17;17;7;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;4;5;0;0;0;0;0;0;0;0;0;0;3;0;0;
01B6L;Erststimme;01;Mitte;6L;B;016L;6;75;W;0;0;0;0;436;436;432;4;44;76;98;143;13;17;8;13;7;0;0;0;1;0;0;0;0;0;0;0;0;2;0;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B6M;Erststimme;01;Mitte;6M;B;016M;6;75;W;0;0;0;0;501;501;499;2;50;85;90;177;19;35;16;11;1;0;0;0;1;0;0;0;1;0;0;0;0;2;0;6;4;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B7A;Erststimme;01;Mitte;7A;B;017A;7;75;W;0;0;0;0;732;732;730;2;60;133;126;297;19;38;17;15;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;11;7;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B7B;Erststimme;01;Mitte;7B;B;017B;7;75;W;0;0;0;0;614;614;609;5;67;96;115;224;17;39;16;9;4;0;0;0;1;0;0;0;1;0;0;0;0;2;0;9;8;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B7C;Erststimme;01;Mitte;7C;B;017C;7;75;W;0;0;0;0;660;660;657;3;53;125;119;269;14;24;14;14;5;0;0;0;2;0;0;0;0;0;0;0;0;3;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7D;Erststimme;01;Mitte;7D;B;017D;7;75;W;0;0;0;0;829;829;822;7;55;117;152;364;20;34;24;12;7;0;0;0;1;0;0;0;0;0;0;0;0;5;0;16;14;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B7E;Erststimme;01;Mitte;7E;B;017E;7;75;W;0;0;0;0;654;654;651;3;47;99;126;272;17;30;27;15;3;0;0;0;0;0;0;0;1;0;0;0;0;4;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7F;Erststimme;01;Mitte;7F;B;017F;7;75;W;0;0;0;0;731;731;720;11;73;127;138;262;21;42;18;11;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7G;Erststimme;01;Mitte;7G;B;017G;7;75;W;0;0;0;0;588;588;580;8;82;90;128;179;23;38;11;11;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7H;Erststimme;01;Mitte;7H;B;017H;7;75;W;0;0;0;0;532;532;529;3;70;71;120;159;31;33;16;12;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7I;Erststimme;01;Mitte;7I;B;017I;7;75;W;0;0;0;0;480;480;469;11;65;61;124;137;17;32;14;8;2;0;0;0;2;0;0;0;1;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B7J;Erststimme;01;Mitte;7J;B;017J;7;75;W;0;0;0;0;450;450;448;2;56;39;103;146;23;39;9;10;4;0;0;0;2;0;0;0;1;0;0;0;0;4;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7K;Erststimme;01;Mitte;7K;B;017K;7;75;W;0;0;0;0;328;328;319;9;42;35;78;98;18;16;7;10;5;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B7L;Erststimme;01;Mitte;7L;B;017L;7;75;W;0;0;0;0;556;556;552;4;73;55;145;183;20;22;13;12;10;0;0;0;1;0;0;0;1;0;0;0;0;1;0;4;9;0;0;0;0;0;0;0;0;0;0;0;3;0;
01B7M;Erststimme;01;Mitte;7M;B;017M;7;75;W;0;0;0;0;533;533;530;3;57;72;146;145;41;26;7;13;2;0;0;0;3;0;0;0;0;0;0;2;0;2;0;4;9;0;0;0;0;0;0;0;0;0;0;0;1;0;
01W100;Erststimme;01;Mitte;100;W;011A;1;75;W;1639;891;748;0;527;12;519;8;79;49;104;150;23;72;15;11;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;6;0;0;0;0;0;0;0;0;0;0;0;1;0;
01W101;Erststimme;01;Mitte;101;W;011B;1;75;O;987;475;512;0;371;10;368;3;59;26;74;130;16;46;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W102;Erststimme;01;Mitte;102;W;011B;1;75;O;1312;597;715;0;409;10;404;5;63;44;85;116;27;47;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W103;Erststimme;01;Mitte;103;W;011C;1;75;O;1048;449;599;0;330;10;329;1;55;21;54;118;15;43;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W104;Erststimme;01;Mitte;104;W;011D;1;75;O;1321;642;679;0;525;17;519;6;73;46;101;194;16;51;7;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;11;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W105;Erststimme;01;Mitte;105;W;011D;1;75;O;1045;579;466;0;436;11;427;9;57;68;96;131;25;26;5;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W106;Erststimme;01;Mitte;106;W;011E;1;75;O;1463;675;788;0;541;2;538;3;89;64;99;164;25;70;5;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;1;0;
01W107;Erststimme;01;Mitte;107;W;011F;1;75;O;1134;595;539;0;429;15;423;6;43;52;86;141;29;48;5;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W108;Erststimme;01;Mitte;108;W;011E;1;75;O;1072;504;568;0;368;12;366;2;80;43;65;96;14;45;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;1;0;
01W109;Erststimme;01;Mitte;109;W;011G;1;75;W;1097;706;391;0;369;6;362;7;75;30;112;54;41;20;3;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;2;0;
01W110;Erststimme;01;Mitte;110;W;011G;1;75;W;1287;684;603;0;571;14;565;6;75;64;113;221;23;46;6;2;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W111;Erststimme;01;Mitte;111;W;011H;1;75;O;1041;521;520;0;427;16;425;2;57;49;91;162;12;31;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W112;Erststimme;01;Mitte;112;W;011F;1;75;O;1179;631;548;0;486;11;485;1;50;76;77;179;21;36;14;8;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W113;Erststimme;01;Mitte;113;W;011I;1;75;O;1440;765;675;0;617;14;613;4;54;80;95;274;21;47;5;9;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W114;Erststimme;01;Mitte;114;W;011H;1;75;O;1475;810;665;0;639;23;633;6;59;93;110;248;19;38;21;4;3;0;0;0;1;0;0;0;0;0;0;1;0;2;0;10;22;0;0;0;0;0;0;0;0;0;0;0;2;0;
01W115;Erststimme;01;Mitte;115;W;011J;1;75;O;850;522;328;0;382;7;376;6;50;52;83;87;32;35;16;6;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;
01W116;Erststimme;01;Mitte;116;W;011J;1;75;O;706;374;332;0;291;18;288;3;38;34;55;96;19;24;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;1;0;0;
